title,price,rating,reviews,availability
"Lenovo IdeaPad Gaming Chromebook - 2022 - Chromebook Gaming Laptop - Intel Iris XE Graphics - 16"" Display - 8GB Memory - 256GB Storage - Intel i5 12th Gen - Storm Grey",,3.9 out of 5 stars,12 ratings,Only 8 left in stock - order soon
"HP 2022 New 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",,4.3 out of 5 stars,610 ratings,Not Available
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",,4.3 out of 5 stars,"1,594 ratings",In Stock
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Windows 11 Laptops with Intel Celeron Quad Core J4105(up to 2.5 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, Webcam, USB3.0, Bluetooth 4.2",,4.5 out of 5 stars,"1,181 ratings",Not Available
"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",,4.3 out of 5 stars,"2,107 ratings",In Stock
"Lenovo 15.6"" Laptop, IdeaPad 1, 20GB RAM, 1TB PCIe SSD, Wi-Fi 6 and Bluetooth 5.1, HDMI, SD Card Reader, 15.6"" HD Anti-Glare Display, AMD Athlon Dual-core Processor, Windows 11 Home in S Mode",,4.4 out of 5 stars,17 ratings,Not Available
"Acer Aspire 5 15.6"" FHD IPS Slim Laptop 2023 Newest, Intel Core i3-1115G4(Up to 4.1GHz), 20GB RAM, 1TB NVMe SSD, WiFi 6, USB, RJ-45, Webcam, Amazon Alexa, Windows 11 +Mousepad",,4.3 out of 5 stars,223 ratings,Not Available
"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 512GB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",,4.3 out of 5 stars,58 ratings,Not Available
"HP Newest 15.6 FHD IPS Flagship Laptop, 11th Gen Intel 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 256GB PCIe SSD, Iris Xe Graphics, Bluetooth, WiFi, Win11,w/GM Accessories",,4.3 out of 5 stars,198 ratings,Not Available
"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",,4.2 out of 5 stars,"1,098 ratings",Not Available
"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",,4.3 out of 5 stars,508 ratings,In Stock
"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",,4.3 out of 5 stars,"2,107 ratings",In Stock
"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 256GB SSD - Platinum",,4.5 out of 5 stars,"1,319 ratings",Not Available
"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",,4.2 out of 5 stars,"1,098 ratings",Not Available
"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",,4.5 out of 5 stars,74 ratings,Not Available
"ASUS Vivobook Laptop L210 11.6"" Ultra Thin Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB eMMC Storage, Windows 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS04",,4.3 out of 5 stars,"8,310 ratings",In Stock
"Lenovo IdeaPad 15.6"" Laptop Newest, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, WiFi6 Bluetooth 5.0, 9.5Hr Battery, Windows 11 +GM Accessories",,4.1 out of 5 stars,222 ratings,Not Available
"SAMSUNG Galaxy Book Go Laptop Computer PC Power Performance 18-Hour Battery Compact Light Shockproof Design WFH Ready WiFi 5, Silver, 128GB",,4.3 out of 5 stars,247 ratings,Not Available
"BiTECOOL Windows 11 Laptop, 14 inches HD Clear Display Lightweight Laptop, 6GB RAM 128GB SSD Intel Celeron J4005 Dual-Core Laptop Computer with 2.4G WiFi, Bluetooth, Webcam, Long Battery Life",,5.0 out of 5 stars,2 ratings,Not Available
"HP 15.6 inch Laptop, Intel Core i5-1135G7 Processor, 15.6"" FHD Anti-Glare LED Display, HDMI, Wi-Fi and Bluetooth, Lightweight Design, Fast Charge, Windows 11 Home (16GB RAM | 1TB SSD)",,5.0 out of 5 stars,6 ratings,Not Available
"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",,4.2 out of 5 stars,"1,024 ratings",In Stock
"SGIN 17.3 Inch Laptop with 8GB RAM 256GB SSD, 17.3"" Windows 11 Laptops with Intel Celeron Quad Core J4105, FHD 1920x1080, Mini HDMI, Webcam, Dual WI-Fi, Typc-C, Expandable Storage 512GB TF(Black)",,4.3 out of 5 stars,320 ratings,Not Available
"ASUS VivoBook 14 Slim Laptop Computer, 14"" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",,4.3 out of 5 stars,"1,614 ratings",In Stock
"SGIN Laptop 12GB RAM 512GB SSD, 15.6 Inch Windows 11 Laptops with Intel Celeron N5095 Quad-Core Processor(up to 2.9 GHz), Full HD 1080P Screen, Mini HDMI, 2.4/5.0G WiFi, Webcam, Bluetooth 4.2, Grey",,4.1 out of 5 stars,36 ratings,Not Available
"Microsoft Surface Laptop Go 12.4"" Touchscreen, Intel Core i5-1035G1 Processor, 4 GB RAM, 128GB PCIe SSD, Up to 13Hr Battery Life, WiFi, Webcam, Windows 11 Pro, Platinum Silver",,4.1 out of 5 stars,135 ratings,Not Available
"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",,4.6 out of 5 stars,"1,475 ratings",In Stock
"HYUNDAI 14 Inch Hybook 4GB RAM, 128GB Storage, Windows 10 Pro Laptop, Intel Celeron N4020, Expandable Storage, microSD Slot (Up to 256GB), 14.1"" Inch IPS Display, WiFi & Bluetooth, 5000mAh Battery.",,3.2 out of 5 stars,35 ratings,Not Available
"Lenovo 15.6"" Laptop, IdeaPad 1, 20GB RAM, 1TB PCIe SSD, Wi-Fi 6 and Bluetooth 5.1, HDMI, SD Card Reader, 15.6"" HD Anti-Glare Display, AMD Athlon Dual-core Processor, Windows 11 Home in S Mode",,4.4 out of 5 stars,17 ratings,Not Available
"Lenovo Newest IdeaPad Flex 5 2-in-1 Touchscreen Laptop, 14.0"" FHD Touch Display, 6-Core AMD Ryzen 5 5500U(Beats i7-11375H), Backlit KB, Fingerprint, W/Stylus Pen, Win11 Home, Grey (16GB|512GB SSD)",,4.3 out of 5 stars,15 ratings,Not Available
"HP Premium 14-inch HD Thin and Light Laptop, Intel Dual-Core Processor, 16GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Pink, Windows 11 + 1 Year Microsoft 365",,4.0 out of 5 stars,167 ratings,Not Available
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Windows 11 Laptops with Intel Celeron Quad Core J4105(up to 2.5 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, Webcam, USB3.0, Bluetooth 4.2",,4.5 out of 5 stars,"1,181 ratings",Not Available
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",,4.3 out of 5 stars,"1,594 ratings",In Stock
"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",,4.2 out of 5 stars,"1,098 ratings",Not Available
"SGIN Laptop 12GB RAM 512GB SSD, 15.6 Inch Windows 11 Laptops with Intel Celeron N5095 Quad-Core Processor(up to 2.9 GHz), Full HD 1080P Screen, Mini HDMI, 2.4/5.0G WiFi, Webcam, Bluetooth 4.2, Grey",,4.1 out of 5 stars,36 ratings,Not Available
"WAICID Laptop 15.6 Inch, 512GB SSD 12GB DDR4, Intel Celeron N5095(4M Cache, up to 2.9 GHz), Windows 11 Laptops Computer with USB Type-C, IPS FHD 1080P Display, 5G/2.4Ghz WiFi, 2*USB 3.0, Bluetooth 4.2",,4.2 out of 5 stars,69 ratings,Not Available
